
Epoch 0, 25%	 Loss : 9.0498e-04	 RES : 3.3792e-05	 MSE : 4.6059e-04	 REL : 1.0435e+00
Epoch 5, 75%	 Loss : 7.1766e-05	 RES : 8.8332e-07	 MSE : 1.5658e-04	 REL : 5.8012e-01
Training Epoch 5 :	 Loss : 6.6393e-05 	 RES : 8.5984e-07	 MSE : 1.6076e-04	 REL : 6.0351e-01
Validation Epoch 5 :	 Loss : 6.3476e-05	 RES : 6.9677e-07	 MSE : 1.3939e-04	 REL : 5.6312e-01
Training Epoch 5 finished,took current epoch 187.90s,cumulative time 1126.30s
MODEL SAVED
Learning Rate : 0.01
Epoch 6, 25%	 Loss : 6.2868e-05	 RES : 6.5871e-07	 MSE : 1.3705e-04	 REL : 5.6922e-01
Epoch 6, 50%	 Loss : 6.1395e-05	 RES : 7.0317e-07	 MSE : 1.3644e-04	 REL : 5.7306e-01
Epoch 6, 75%	 Loss : 7.1516e-05	 RES : 7.9171e-07	 MSE : 1.5328e-04	 REL : 5.7398e-01
Training Epoch 6 :	 Loss : 6.5135e-05 	 RES : 7.8954e-07	 MSE : 1.5562e-04	 REL : 5.9318e-01
Validation Epoch 6 :	 Loss : 6.6837e-05	 RES : 9.4888e-07	 MSE : 1.7636e-04	 REL : 6.3401e-01
Training Epoch 6 finished,took current epoch 187.21s,cumulative time 1313.21s
Learning Rate : 0.01
Epoch 7, 25%	 Loss : 6.0331e-05	 RES : 6.1172e-07	 MSE : 1.2393e-04	 REL : 5.4128e-01
Epoch 7, 50%	 Loss : 6.0631e-05	 RES : 5.8754e-07	 MSE : 1.2815e-04	 REL : 5.5537e-01
Epoch 7, 75%	 Loss : 6.9459e-05	 RES : 7.6858e-07	 MSE : 1.5146e-04	 REL : 5.7056e-01
Training Epoch 7 :	 Loss : 6.4019e-05 	 RES : 7.2309e-07	 MSE : 1.5110e-04	 REL : 5.8477e-01
Validation Epoch 7 :	 Loss : 6.3992e-05	 RES : 7.0798e-07	 MSE : 1.4741e-04	 REL : 5.7935e-01
Training Epoch 7 finished,took current epoch 187.72s,cumulative time 1500.77s
Learning Rate : 0.01
Epoch 8, 25%	 Loss : 6.0043e-05	 RES : 5.8538e-07	 MSE : 1.2432e-04	 REL : 5.4214e-01
Epoch 8, 50%	 Loss : 6.3679e-05	 RES : 9.7363e-07	 MSE : 1.6030e-04	 REL : 6.2116e-01
Epoch 8, 75%	 Loss : 6.9920e-05	 RES : 9.6414e-07	 MSE : 1.7399e-04	 REL : 6.1152e-01
Training Epoch 8 :	 Loss : 6.2910e-05 	 RES : 6.6528e-07	 MSE : 1.4480e-04	 REL : 5.7245e-01
Validation Epoch 8 :	 Loss : 6.0671e-05	 RES : 5.5938e-07	 MSE : 1.3089e-04	 REL : 5.4576e-01
Training Epoch 8 finished,took current epoch 188.68s,cumulative time 1689.22s
MODEL SAVED
Learning Rate : 0.01
Epoch 9, 25%	 Loss : 6.0947e-05	 RES : 5.0428e-07	 MSE : 1.1737e-04	 REL : 5.2675e-01
Epoch 9, 50%	 Loss : 5.8366e-05	 RES : 4.8447e-07	 MSE : 1.2204e-04	 REL : 5.4198e-01
Epoch 9, 75%	 Loss : 7.0481e-05	 RES : 8.8434e-07	 MSE : 1.7369e-04	 REL : 6.1100e-01
Training Epoch 9 :	 Loss : 6.2373e-05 	 RES : 6.4472e-07	 MSE : 1.4618e-04	 REL : 5.7491e-01
Validation Epoch 9 :	 Loss : 6.1803e-05	 RES : 5.5088e-07	 MSE : 1.2734e-04	 REL : 5.3834e-01
Training Epoch 9 finished,took current epoch 188.30s,cumulative time 1877.20s
MODEL SAVED
Learning Rate : 0.01
Epoch 10, 25%	 Loss : 5.7919e-05	 RES : 4.6567e-07	 MSE : 1.0999e-04	 REL : 5.0994e-01
Epoch 10, 50%	 Loss : 5.9030e-05	 RES : 4.8527e-07	 MSE : 1.2138e-04	 REL : 5.4050e-01
Epoch 10, 75%	 Loss : 6.7840e-05	 RES : 6.5219e-07	 MSE : 1.4150e-04	 REL : 5.5148e-01
Training Epoch 10 :	 Loss : 6.1734e-05 	 RES : 6.0491e-07	 MSE : 1.3769e-04	 REL : 5.5710e-01
Validation Epoch 10 :	 Loss : 6.3198e-05	 RES : 7.5764e-07	 MSE : 1.6802e-04	 REL : 6.1826e-01
Training Epoch 10 finished,took current epoch 188.05s,cumulative time 2065.14s
Learning Rate : 0.01
Epoch 11, 25%	 Loss : 5.8334e-05	 RES : 4.4868e-07	 MSE : 1.1219e-04	 REL : 5.1500e-01
Epoch 11, 50%	 Loss : 5.7267e-05	 RES : 4.5702e-07	 MSE : 1.1217e-04	 REL : 5.1960e-01
Epoch 11, 75%	 Loss : 6.6556e-05	 RES : 5.6198e-07	 MSE : 1.3372e-04	 REL : 5.3610e-01
Training Epoch 11 :	 Loss : 6.1547e-05 	 RES : 6.0173e-07	 MSE : 1.3989e-04	 REL : 5.6013e-01
Validation Epoch 11 :	 Loss : 6.0021e-05	 RES : 5.2072e-07	 MSE : 1.3343e-04	 REL : 5.5076e-01
Training Epoch 11 finished,took current epoch 188.24s,cumulative time 2253.11s
MODEL SAVED
Learning Rate : 0.01
Epoch 12, 25%	 Loss : 6.0101e-05	 RES : 5.6892e-07	 MSE : 1.2126e-04	 REL : 5.3543e-01
Epoch 12, 50%	 Loss : 5.9868e-05	 RES : 5.4971e-07	 MSE : 1.5612e-04	 REL : 6.1301e-01
Epoch 12, 75%	 Loss : 6.4935e-05	 RES : 4.8676e-07	 MSE : 1.1682e-04	 REL : 5.0109e-01
Training Epoch 12 :	 Loss : 6.0881e-05 	 RES : 5.8240e-07	 MSE : 1.3456e-04	 REL : 5.4863e-01
Validation Epoch 12 :	 Loss : 6.3310e-05	 RES : 9.6716e-07	 MSE : 1.8358e-04	 REL : 6.4703e-01
Training Epoch 12 finished,took current epoch 187.28s,cumulative time 2440.26s
Learning Rate : 0.01
Epoch 13, 25%	 Loss : 5.9577e-05	 RES : 6.8376e-07	 MSE : 1.4104e-04	 REL : 5.7744e-01
Epoch 13, 50%	 Loss : 5.8380e-05	 RES : 4.5014e-07	 MSE : 1.1502e-04	 REL : 5.2615e-01
Epoch 13, 75%	 Loss : 6.7965e-05	 RES : 7.3019e-07	 MSE : 1.7029e-04	 REL : 6.0499e-01
Training Epoch 13 :	 Loss : 6.0164e-05 	 RES : 5.5091e-07	 MSE : 1.3078e-04	 REL : 5.4077e-01
Validation Epoch 13 :	 Loss : 5.9546e-05	 RES : 5.6597e-07	 MSE : 1.1572e-04	 REL : 5.1307e-01
Training Epoch 13 finished,took current epoch 187.65s,cumulative time 2627.77s
Learning Rate : 0.01
Epoch 14, 25%	 Loss : 6.4467e-05	 RES : 1.0994e-06	 MSE : 2.1874e-04	 REL : 7.1912e-01
Epoch 14, 50%	 Loss : 5.8445e-05	 RES : 4.3646e-07	 MSE : 1.2452e-04	 REL : 5.4746e-01
Epoch 14, 75%	 Loss : 6.6728e-05	 RES : 7.0609e-07	 MSE : 1.4372e-04	 REL : 5.5578e-01
Training Epoch 14 :	 Loss : 5.9958e-05 	 RES : 5.4495e-07	 MSE : 1.2957e-04	 REL : 5.3944e-01
Validation Epoch 14 :	 Loss : 5.8349e-05	 RES : 4.2217e-07	 MSE : 1.1642e-04	 REL : 5.1436e-01
Training Epoch 14 finished,took current epoch 188.78s,cumulative time 2816.15s
MODEL SAVED
Learning Rate : 0.01
Epoch 15, 25%	 Loss : 5.7600e-05	 RES : 5.4453e-07	 MSE : 1.0138e-04	 REL : 4.8957e-01
Epoch 15, 50%	 Loss : 5.7037e-05	 RES : 4.7721e-07	 MSE : 1.1995e-04	 REL : 5.3732e-01
Epoch 15, 75%	 Loss : 6.4828e-05	 RES : 5.1085e-07	 MSE : 1.2736e-04	 REL : 5.2320e-01
Training Epoch 15 :	 Loss : 5.9358e-05 	 RES : 5.2009e-07	 MSE : 1.2659e-04	 REL : 5.3286e-01
Validation Epoch 15 :	 Loss : 5.7751e-05	 RES : 3.8763e-07	 MSE : 1.0897e-04	 REL : 4.9764e-01
Training Epoch 15 finished,took current epoch 190.12s,cumulative time 3005.97s
MODEL SAVED
Learning Rate : 0.01
Epoch 16, 25%	 Loss : 5.8201e-05	 RES : 4.9507e-07	 MSE : 1.1162e-04	 REL : 5.1369e-01
Epoch 16, 50%	 Loss : 5.6035e-05	 RES : 4.0590e-07	 MSE : 1.0276e-04	 REL : 4.9734e-01
Epoch 16, 75%	 Loss : 6.7470e-05	 RES : 5.9637e-07	 MSE : 1.4202e-04	 REL : 5.5249e-01
Training Epoch 16 :	 Loss : 5.9687e-05 	 RES : 5.6014e-07	 MSE : 1.3112e-04	 REL : 5.3718e-01
Validation Epoch 16 :	 Loss : 5.6966e-05	 RES : 3.9085e-07	 MSE : 1.0597e-04	 REL : 4.9075e-01
Training Epoch 16 finished,took current epoch 187.96s,cumulative time 3193.66s
Learning Rate : 0.01
Epoch 17, 25%	 Loss : 5.9472e-05	 RES : 6.9466e-07	 MSE : 1.4703e-04	 REL : 5.8957e-01
Epoch 17, 50%	 Loss : 5.5039e-05	 RES : 3.9980e-07	 MSE : 1.0860e-04	 REL : 5.1128e-01
Epoch 17, 75%	 Loss : 6.3963e-05	 RES : 4.8483e-07	 MSE : 1.0498e-04	 REL : 4.7501e-01
Training Epoch 17 :	 Loss : 5.8427e-05 	 RES : 4.6612e-07	 MSE : 1.1822e-04	 REL : 5.1512e-01
Validation Epoch 17 :	 Loss : 5.6502e-05	 RES : 3.5546e-07	 MSE : 9.8275e-05	 REL : 4.7255e-01
Training Epoch 17 finished,took current epoch 186.47s,cumulative time 3379.85s
MODEL SAVED
Learning Rate : 0.01
Epoch 18, 25%	 Loss : 5.8421e-05	 RES : 5.6494e-07	 MSE : 1.0720e-04	 REL : 5.0343e-01
Epoch 18, 50%	 Loss : 5.7974e-05	 RES : 5.9321e-07	 MSE : 1.3220e-04	 REL : 5.6408e-01
Epoch 18, 75%	 Loss : 6.2510e-05	 RES : 4.0165e-07	 MSE : 1.0103e-04	 REL : 4.6600e-01
Training Epoch 18 :	 Loss : 5.8708e-05 	 RES : 5.0121e-07	 MSE : 1.2099e-04	 REL : 5.1824e-01
Validation Epoch 18 :	 Loss : 5.6671e-05	 RES : 3.4356e-07	 MSE : 9.5663e-05	 REL : 4.6634e-01
Training Epoch 18 finished,took current epoch 187.22s,cumulative time 3566.86s
MODEL SAVED
Learning Rate : 0.01
Epoch 19, 25%	 Loss : 5.4527e-05	 RES : 3.1995e-07	 MSE : 8.6546e-05	 REL : 4.5233e-01
Epoch 19, 50%	 Loss : 5.4057e-05	 RES : 3.1120e-07	 MSE : 8.8688e-05	 REL : 4.6202e-01
Epoch 19, 75%	 Loss : 6.2918e-05	 RES : 4.3969e-07	 MSE : 9.8479e-05	 REL : 4.6007e-01
Training Epoch 19 :	 Loss : 5.7881e-05 	 RES : 4.6023e-07	 MSE : 1.1537e-04	 REL : 5.0806e-01
Validation Epoch 19 :	 Loss : 5.6533e-05	 RES : 4.0692e-07	 MSE : 1.0099e-04	 REL : 4.7899e-01
Training Epoch 19 finished,took current epoch 187.78s,cumulative time 3754.47s
Learning Rate : 0.01
Epoch 20, 25%	 Loss : 5.5157e-05	 RES : 3.5442e-07	 MSE : 8.9216e-05	 REL : 4.5926e-01
Epoch 20, 50%	 Loss : 5.4549e-05	 RES : 3.2209e-07	 MSE : 9.0770e-05	 REL : 4.6741e-01
Epoch 20, 75%	 Loss : 6.3703e-05	 RES : 5.0065e-07	 MSE : 1.2424e-04	 REL : 5.1676e-01
Training Epoch 20 :	 Loss : 5.7908e-05 	 RES : 4.5580e-07	 MSE : 1.1422e-04	 REL : 5.0445e-01
Validation Epoch 20 :	 Loss : 5.9539e-05	 RES : 5.3117e-07	 MSE : 1.4985e-04	 REL : 5.8387e-01
Training Epoch 20 finished,took current epoch 188.14s,cumulative time 3942.50s
Learning Rate : 0.01
Epoch 21, 25%	 Loss : 5.4793e-05	 RES : 3.7608e-07	 MSE : 8.4788e-05	 REL : 4.4772e-01
Epoch 21, 50%	 Loss : 5.3857e-05	 RES : 3.0387e-07	 MSE : 9.2141e-05	 REL : 4.7093e-01
Epoch 21, 75%	 Loss : 6.3873e-05	 RES : 5.3915e-07	 MSE : 1.3174e-04	 REL : 5.3213e-01
Training Epoch 21 :	 Loss : 5.7253e-05 	 RES : 4.1552e-07	 MSE : 1.0945e-04	 REL : 4.9196e-01
Validation Epoch 21 :	 Loss : 7.2158e-05	 RES : 1.5987e-06	 MSE : 3.2164e-04	 REL : 8.5723e-01
Training Epoch 21 finished,took current epoch 188.80s,cumulative time 4131.16s
Learning Rate : 0.01
Epoch 22, 25%	 Loss : 5.3872e-05	 RES : 2.9605e-07	 MSE : 8.0078e-05	 REL : 4.3511e-01
Epoch 22, 50%	 Loss : 5.4583e-05	 RES : 3.4832e-07	 MSE : 1.1781e-04	 REL : 5.3250e-01
Epoch 22, 75%	 Loss : 6.1970e-05	 RES : 3.6208e-07	 MSE : 9.3339e-05	 REL : 4.4790e-01
Training Epoch 22 :	 Loss : 5.7206e-05 	 RES : 4.1590e-07	 MSE : 1.0741e-04	 REL : 4.9013e-01
Validation Epoch 22 :	 Loss : 5.8383e-05	 RES : 5.4029e-07	 MSE : 1.3177e-04	 REL : 5.4802e-01
Training Epoch 22 finished,took current epoch 188.61s,cumulative time 4319.62s
Learning Rate : 0.01
Epoch 23, 25%	 Loss : 5.5997e-05	 RES : 4.5269e-07	 MSE : 1.1912e-04	 REL : 5.3067e-01
Epoch 23, 50%	 Loss : 5.9968e-05	 RES : 7.7461e-07	 MSE : 2.0757e-04	 REL : 7.0683e-01
Epoch 23, 75%	 Loss : 6.1405e-05	 RES : 3.4929e-07	 MSE : 8.7135e-05	 REL : 4.3276e-01
Training Epoch 23 :	 Loss : 5.6955e-05 	 RES : 3.9850e-07	 MSE : 1.0705e-04	 REL : 4.8736e-01
Validation Epoch 23 :	 Loss : 5.4982e-05	 RES : 2.6593e-07	 MSE : 8.1713e-05	 REL : 4.3087e-01
Training Epoch 23 finished,took current epoch 187.83s,cumulative time 4507.17s
MODEL SAVED
Learning Rate : 0.01
Epoch 24, 25%	 Loss : 5.4365e-05	 RES : 3.3960e-07	 MSE : 9.3120e-05	 REL : 4.6920e-01
Epoch 24, 50%	 Loss : 5.4209e-05	 RES : 2.9644e-07	 MSE : 8.1637e-05	 REL : 4.4328e-01
Epoch 24, 75%	 Loss : 6.1594e-05	 RES : 3.7620e-07	 MSE : 8.3958e-05	 REL : 4.2480e-01
Training Epoch 24 :	 Loss : 5.6792e-05 	 RES : 3.8918e-07	 MSE : 1.0547e-04	 REL : 4.8341e-01
Validation Epoch 24 :	 Loss : 5.4680e-05	 RES : 2.6802e-07	 MSE : 8.1890e-05	 REL : 4.3141e-01
Training Epoch 24 finished,took current epoch 188.55s,cumulative time 4695.62s
Learning Rate : 0.01
Epoch 25, 25%	 Loss : 5.5387e-05	 RES : 4.1282e-07	 MSE : 8.0270e-05	 REL : 4.3563e-01
Epoch 25, 50%	 Loss : 5.3261e-05	 RES : 2.9241e-07	 MSE : 7.8500e-05	 REL : 4.3468e-01
Epoch 25, 75%	 Loss : 6.2162e-05	 RES : 3.3363e-07	 MSE : 9.0119e-05	 REL : 4.4011e-01
Training Epoch 25 :	 Loss : 5.6776e-05 	 RES : 3.8999e-07	 MSE : 1.0421e-04	 REL : 4.8037e-01
Validation Epoch 25 :	 Loss : 5.5424e-05	 RES : 2.8510e-07	 MSE : 8.8626e-05	 REL : 4.4897e-01
Training Epoch 25 finished,took current epoch 187.02s,cumulative time 4882.48s
Learning Rate : 0.01
Epoch 26, 25%	 Loss : 5.7047e-05	 RES : 5.4723e-07	 MSE : 9.9402e-05	 REL : 4.8477e-01
Epoch 26, 50%	 Loss : 5.4963e-05	 RES : 3.5262e-07	 MSE : 8.9421e-05	 REL : 4.6393e-01
Epoch 26, 75%	 Loss : 6.1291e-05	 RES : 3.3886e-07	 MSE : 8.9679e-05	 REL : 4.3903e-01
Training Epoch 26 :	 Loss : 5.6330e-05 	 RES : 3.6322e-07	 MSE : 1.0101e-04	 REL : 4.7553e-01
Validation Epoch 26 :	 Loss : 5.6413e-05	 RES : 3.9923e-07	 MSE : 1.0676e-04	 REL : 4.9304e-01
Training Epoch 26 finished,took current epoch 187.49s,cumulative time 5069.81s
Learning Rate : 0.01
Epoch 27, 25%	 Loss : 5.3223e-05	 RES : 2.5894e-07	 MSE : 7.0184e-05	 REL : 4.0734e-01
Epoch 27, 50%	 Loss : 5.3369e-05	 RES : 2.9501e-07	 MSE : 8.1237e-05	 REL : 4.4219e-01
Epoch 27, 75%	 Loss : 6.0528e-05	 RES : 3.0450e-07	 MSE : 8.3188e-05	 REL : 4.2285e-01
Training Epoch 27 :	 Loss : 5.6543e-05 	 RES : 3.7823e-07	 MSE : 1.0196e-04	 REL : 4.7137e-01
Validation Epoch 27 :	 Loss : 5.5942e-05	 RES : 3.3809e-07	 MSE : 7.9132e-05	 REL : 4.2409e-01
Training Epoch 27 finished,took current epoch 186.70s,cumulative time 5256.39s
Learning Rate : 0.01
Epoch 28, 25%	 Loss : 5.5582e-05	 RES : 4.1261e-07	 MSE : 9.6396e-05	 REL : 4.7738e-01
Epoch 28, 50%	 Loss : 5.2982e-05	 RES : 2.5983e-07	 MSE : 7.4539e-05	 REL : 4.2357e-01
Epoch 28, 75%	 Loss : 6.0618e-05	 RES : 3.0290e-07	 MSE : 8.3049e-05	 REL : 4.2249e-01
Training Epoch 28 :	 Loss : 5.6287e-05 	 RES : 3.6040e-07	 MSE : 9.8561e-05	 REL : 4.6652e-01
Validation Epoch 28 :	 Loss : 5.5407e-05	 RES : 2.9196e-07	 MSE : 9.6070e-05	 REL : 4.6757e-01
Training Epoch 28 finished,took current epoch 187.48s,cumulative time 5443.73s
Learning Rate : 0.01
Epoch 29, 25%	 Loss : 5.9577e-05	 RES : 5.9041e-07	 MSE : 2.0021e-04	 REL : 6.8799e-01
Epoch 29, 50%	 Loss : 5.2368e-05	 RES : 2.4193e-07	 MSE : 7.0599e-05	 REL : 4.1222e-01
Epoch 29, 75%	 Loss : 6.1317e-05	 RES : 3.3185e-07	 MSE : 8.6757e-05	 REL : 4.3182e-01
Training Epoch 29 :	 Loss : 5.5995e-05 	 RES : 3.4419e-07	 MSE : 9.4877e-05	 REL : 4.5732e-01
Validation Epoch 29 :	 Loss : 5.4155e-05	 RES : 2.4683e-07	 MSE : 7.3939e-05	 REL : 4.0990e-01
Training Epoch 29 finished,took current epoch 188.80s,cumulative time 5632.29s
MODEL SAVED
Learning Rate : 0.01
Epoch 30, 25%	 Loss : 5.2641e-05	 RES : 2.2375e-07	 MSE : 6.4447e-05	 REL : 3.9033e-01
Epoch 30, 50%	 Loss : 5.2995e-05	 RES : 2.4426e-07	 MSE : 7.0473e-05	 REL : 4.1185e-01
Epoch 30, 75%	 Loss : 6.1275e-05	 RES : 3.4838e-07	 MSE : 9.7023e-05	 REL : 4.5666e-01
Training Epoch 30 :	 Loss : 5.5946e-05 	 RES : 3.4975e-07	 MSE : 9.5160e-05	 REL : 4.5830e-01
Validation Epoch 30 :	 Loss : 5.4487e-05	 RES : 2.6153e-07	 MSE : 7.5038e-05	 REL : 4.1295e-01
Training Epoch 30 finished,took current epoch 186.97s,cumulative time 5819.16s
Learning Rate : 0.01
Epoch 31, 25%	 Loss : 5.2673e-05	 RES : 2.2968e-07	 MSE : 8.2862e-05	 REL : 4.4260e-01
Epoch 31, 50%	 Loss : 5.3021e-05	 RES : 2.6008e-07	 MSE : 7.1405e-05	 REL : 4.1457e-01
Epoch 31, 75%	 Loss : 6.0409e-05	 RES : 2.9979e-07	 MSE : 8.2119e-05	 REL : 4.2012e-01
Training Epoch 31 :	 Loss : 5.5725e-05 	 RES : 3.3009e-07	 MSE : 9.4656e-05	 REL : 4.5915e-01
Validation Epoch 31 :	 Loss : 5.4916e-05	 RES : 2.5712e-07	 MSE : 7.1352e-05	 REL : 4.0268e-01
Training Epoch 31 finished,took current epoch 187.33s,cumulative time 6006.37s
Learning Rate : 0.01
Epoch 32, 25%	 Loss : 5.2719e-05	 RES : 2.1958e-07	 MSE : 6.4330e-05	 REL : 3.8998e-01
Epoch 32, 50%	 Loss : 5.3826e-05	 RES : 2.9613e-07	 MSE : 6.5371e-05	 REL : 3.9666e-01
Epoch 32, 75%	 Loss : 6.0396e-05	 RES : 3.0151e-07	 MSE : 7.2326e-05	 REL : 3.9428e-01
Training Epoch 32 :	 Loss : 5.5602e-05 	 RES : 3.2595e-07	 MSE : 9.2718e-05	 REL : 4.5395e-01
Validation Epoch 32 :	 Loss : 5.4243e-05	 RES : 2.3840e-07	 MSE : 7.3940e-05	 REL : 4.0966e-01
Training Epoch 32 finished,took current epoch 187.78s,cumulative time 6193.93s
MODEL SAVED
Learning Rate : 0.01
Epoch 33, 25%	 Loss : 5.3932e-05	 RES : 3.4658e-07	 MSE : 8.7877e-05	 REL : 4.5580e-01
Epoch 33, 50%	 Loss : 5.2440e-05	 RES : 2.6318e-07	 MSE : 6.5521e-05	 REL : 3.9712e-01
Epoch 33, 75%	 Loss : 6.0729e-05	 RES : 2.9889e-07	 MSE : 7.4853e-05	 REL : 4.0110e-01
Training Epoch 33 :	 Loss : 5.5534e-05 	 RES : 3.2761e-07	 MSE : 9.0196e-05	 REL : 4.4422e-01
Validation Epoch 33 :	 Loss : 5.5013e-05	 RES : 3.1177e-07	 MSE : 1.0272e-04	 REL : 4.8318e-01
Training Epoch 33 finished,took current epoch 187.99s,cumulative time 6381.79s
Learning Rate : 0.01
Epoch 34, 25%	 Loss : 5.2564e-05	 RES : 2.2965e-07	 MSE : 6.7850e-05	 REL : 4.0051e-01
Epoch 34, 50%	 Loss : 5.2624e-05	 RES : 2.7561e-07	 MSE : 6.4076e-05	 REL : 3.9272e-01
Epoch 34, 75%	 Loss : 6.0143e-05	 RES : 3.2510e-07	 MSE : 6.5862e-05	 REL : 3.7624e-01
Training Epoch 34 :	 Loss : 5.5411e-05 	 RES : 3.1738e-07	 MSE : 9.0164e-05	 REL : 4.4666e-01
Validation Epoch 34 :	 Loss : 5.4465e-05	 RES : 2.7988e-07	 MSE : 9.2904e-05	 REL : 4.5942e-01
Training Epoch 34 finished,took current epoch 189.32s,cumulative time 6570.96s
Learning Rate : 0.01
Epoch 35, 25%	 Loss : 5.3086e-05	 RES : 2.9710e-07	 MSE : 8.6050e-05	 REL : 4.5104e-01
Epoch 35, 50%	 Loss : 5.4910e-05	 RES : 4.8148e-07	 MSE : 9.5251e-05	 REL : 4.7881e-01
Epoch 35, 75%	 Loss : 6.0514e-05	 RES : 3.9250e-07	 MSE : 7.4194e-05	 REL : 3.9934e-01
Training Epoch 35 :	 Loss : 5.5395e-05 	 RES : 3.1963e-07	 MSE : 9.3176e-05	 REL : 4.5130e-01
Validation Epoch 35 :	 Loss : 5.4013e-05	 RES : 2.3062e-07	 MSE : 6.7649e-05	 REL : 3.9184e-01
Training Epoch 35 finished,took current epoch 187.48s,cumulative time 6758.23s
MODEL SAVED
Learning Rate : 0.01
Epoch 36, 25%	 Loss : 5.5267e-05	 RES : 3.9875e-07	 MSE : 1.2514e-04	 REL : 5.4392e-01
Epoch 36, 50%	 Loss : 5.1687e-05	 RES : 2.1544e-07	 MSE : 5.5364e-05	 REL : 3.6504e-01
Epoch 36, 75%	 Loss : 5.9878e-05	 RES : 2.6616e-07	 MSE : 7.0024e-05	 REL : 3.8795e-01
Training Epoch 36 :	 Loss : 5.5376e-05 	 RES : 3.2321e-07	 MSE : 8.5419e-05	 REL : 4.3174e-01
Validation Epoch 36 :	 Loss : 5.6156e-05	 RES : 4.3488e-07	 MSE : 1.0341e-04	 REL : 4.8543e-01
