
Epoch 0, 25%	 Loss : 1.6296e-04	 RES : 2.6754e-05	 MSE : 3.9593e-04	 REL : 9.7323e-01
Epoch 9, 50%	 Loss : 4.4431e-05	 RES : 1.8989e-06	 MSE : 1.9340e-04	 REL : 7.2592e-01
Epoch 9, 75%	 Loss : 4.8730e-05	 RES : 2.0474e-06	 MSE : 2.4548e-04	 REL : 7.2934e-01
Training Epoch 9 :	 Loss : 4.8509e-05 	 RES : 2.1606e-06	 MSE : 2.3824e-04	 REL : 7.3696e-01
Validation Epoch 9 :	 Loss : 4.8119e-05	 RES : 1.9897e-06	 MSE : 2.3182e-04	 REL : 7.2605e-01
Training Epoch 9 finished,took current epoch 44.36s,cumulative time 454.05s
MODEL SAVED
Learning Rate : 0.01
Epoch 10, 25%	 Loss : 4.7403e-05	 RES : 2.2011e-06	 MSE : 2.2180e-04	 REL : 7.2842e-01
Epoch 10, 50%	 Loss : 4.4206e-05	 RES : 1.8857e-06	 MSE : 1.9143e-04	 REL : 7.2221e-01
Epoch 10, 75%	 Loss : 4.8649e-05	 RES : 2.0137e-06	 MSE : 2.4495e-04	 REL : 7.2856e-01
Training Epoch 10 :	 Loss : 4.8418e-05 	 RES : 2.1406e-06	 MSE : 2.3761e-04	 REL : 7.3600e-01
Validation Epoch 10 :	 Loss : 4.7995e-05	 RES : 1.9587e-06	 MSE : 2.3016e-04	 REL : 7.2347e-01
Training Epoch 10 finished,took current epoch 44.66s,cumulative time 498.61s
MODEL SAVED
Learning Rate : 0.01
Epoch 11, 25%	 Loss : 4.7438e-05	 RES : 2.1707e-06	 MSE : 2.2020e-04	 REL : 7.2579e-01
Epoch 11, 50%	 Loss : 4.4447e-05	 RES : 2.0769e-06	 MSE : 1.9705e-04	 REL : 7.3273e-01
Epoch 11, 75%	 Loss : 4.8601e-05	 RES : 2.0066e-06	 MSE : 2.4529e-04	 REL : 7.2907e-01
Training Epoch 11 :	 Loss : 4.8333e-05 	 RES : 2.1232e-06	 MSE : 2.3677e-04	 REL : 7.3473e-01
Validation Epoch 11 :	 Loss : 4.7927e-05	 RES : 1.9422e-06	 MSE : 2.2980e-04	 REL : 7.2289e-01
Training Epoch 11 finished,took current epoch 44.89s,cumulative time 543.46s
MODEL SAVED
Learning Rate : 0.01
Epoch 12, 25%	 Loss : 4.7296e-05	 RES : 2.1166e-06	 MSE : 2.2159e-04	 REL : 7.2808e-01
Epoch 12, 50%	 Loss : 4.4514e-05	 RES : 2.0017e-06	 MSE : 1.9829e-04	 REL : 7.3503e-01
Epoch 12, 75%	 Loss : 4.8729e-05	 RES : 1.9999e-06	 MSE : 2.4497e-04	 REL : 7.2859e-01
Training Epoch 12 :	 Loss : 4.8282e-05 	 RES : 2.1039e-06	 MSE : 2.3597e-04	 REL : 7.3351e-01
Validation Epoch 12 :	 Loss : 4.7890e-05	 RES : 1.9196e-06	 MSE : 2.2868e-04	 REL : 7.2115e-01
Training Epoch 12 finished,took current epoch 44.75s,cumulative time 588.12s
MODEL SAVED
Learning Rate : 0.01
Epoch 13, 25%	 Loss : 4.7775e-05	 RES : 2.1038e-06	 MSE : 2.2066e-04	 REL : 7.2655e-01
Epoch 13, 50%	 Loss : 4.4289e-05	 RES : 1.9683e-06	 MSE : 1.9820e-04	 REL : 7.3486e-01
Epoch 13, 75%	 Loss : 4.8541e-05	 RES : 1.9898e-06	 MSE : 2.4453e-04	 REL : 7.2794e-01
Training Epoch 13 :	 Loss : 4.8245e-05 	 RES : 2.0922e-06	 MSE : 2.3539e-04	 REL : 7.3256e-01
Validation Epoch 13 :	 Loss : 4.7810e-05	 RES : 1.9223e-06	 MSE : 2.2895e-04	 REL : 7.2157e-01
Training Epoch 13 finished,took current epoch 45.41s,cumulative time 633.51s
Learning Rate : 0.01
Epoch 14, 25%	 Loss : 4.7098e-05	 RES : 2.0118e-06	 MSE : 2.1780e-04	 REL : 7.2182e-01
Epoch 14, 50%	 Loss : 4.4396e-05	 RES : 1.9665e-06	 MSE : 1.9966e-04	 REL : 7.3756e-01
Epoch 14, 75%	 Loss : 4.8575e-05	 RES : 1.9770e-06	 MSE : 2.4413e-04	 REL : 7.2734e-01
Training Epoch 14 :	 Loss : 4.8198e-05 	 RES : 2.0785e-06	 MSE : 2.3449e-04	 REL : 7.3117e-01
Validation Epoch 14 :	 Loss : 4.7883e-05	 RES : 1.9186e-06	 MSE : 2.2891e-04	 REL : 7.2149e-01
Training Epoch 14 finished,took current epoch 45.11s,cumulative time 678.51s
MODEL SAVED
Learning Rate : 0.01
Epoch 15, 25%	 Loss : 4.6896e-05	 RES : 1.8935e-06	 MSE : 2.1507e-04	 REL : 7.1729e-01
Epoch 15, 50%	 Loss : 4.4305e-05	 RES : 1.8534e-06	 MSE : 1.9454e-04	 REL : 7.2805e-01
Epoch 15, 75%	 Loss : 4.8569e-05	 RES : 1.9833e-06	 MSE : 2.4475e-04	 REL : 7.2827e-01
Training Epoch 15 :	 Loss : 4.8162e-05 	 RES : 2.0634e-06	 MSE : 2.3355e-04	 REL : 7.2973e-01
Validation Epoch 15 :	 Loss : 4.8146e-05	 RES : 1.9279e-06	 MSE : 2.2881e-04	 REL : 7.2133e-01
Training Epoch 15 finished,took current epoch 45.06s,cumulative time 723.42s
Learning Rate : 0.01
Epoch 16, 25%	 Loss : 4.6942e-05	 RES : 1.9844e-06	 MSE : 2.1722e-04	 REL : 7.2085e-01
Epoch 16, 50%	 Loss : 4.4011e-05	 RES : 1.8344e-06	 MSE : 1.9031e-04	 REL : 7.2009e-01
Epoch 16, 75%	 Loss : 4.8736e-05	 RES : 2.0470e-06	 MSE : 2.4987e-04	 REL : 7.3584e-01
Training Epoch 16 :	 Loss : 4.8127e-05 	 RES : 2.0576e-06	 MSE : 2.3387e-04	 REL : 7.3024e-01
Validation Epoch 16 :	 Loss : 4.8023e-05	 RES : 1.9255e-06	 MSE : 2.2852e-04	 REL : 7.2089e-01
Training Epoch 16 finished,took current epoch 45.15s,cumulative time 768.54s
Learning Rate : 0.01
Epoch 17, 25%	 Loss : 4.7041e-05	 RES : 2.0157e-06	 MSE : 2.1865e-04	 REL : 7.2322e-01
Epoch 17, 50%	 Loss : 4.3754e-05	 RES : 1.7403e-06	 MSE : 1.8668e-04	 REL : 7.1319e-01
Epoch 17, 75%	 Loss : 4.8731e-05	 RES : 2.0075e-06	 MSE : 2.4752e-04	 REL : 7.3237e-01
Training Epoch 17 :	 Loss : 4.8095e-05 	 RES : 2.0503e-06	 MSE : 2.3367e-04	 REL : 7.2994e-01
Validation Epoch 17 :	 Loss : 4.7788e-05	 RES : 1.9279e-06	 MSE : 2.2912e-04	 REL : 7.2182e-01
Training Epoch 17 finished,took current epoch 45.36s,cumulative time 813.87s
Learning Rate : 0.01
Epoch 18, 25%	 Loss : 4.6918e-05	 RES : 1.9873e-06	 MSE : 2.1801e-04	 REL : 7.2218e-01
Epoch 18, 50%	 Loss : 4.4011e-05	 RES : 1.8748e-06	 MSE : 1.9220e-04	 REL : 7.2366e-01
Epoch 18, 75%	 Loss : 4.8701e-05	 RES : 2.0966e-06	 MSE : 2.5189e-04	 REL : 7.3881e-01
Training Epoch 18 :	 Loss : 4.8077e-05 	 RES : 2.0483e-06	 MSE : 2.3334e-04	 REL : 7.2935e-01
Validation Epoch 18 :	 Loss : 4.7767e-05	 RES : 1.9191e-06	 MSE : 2.2913e-04	 REL : 7.2182e-01
Training Epoch 18 finished,took current epoch 45.04s,cumulative time 858.88s
Learning Rate : 0.01
Epoch 19, 25%	 Loss : 4.7398e-05	 RES : 2.0269e-06	 MSE : 2.2010e-04	 REL : 7.2563e-01
Epoch 19, 50%	 Loss : 4.4266e-05	 RES : 1.8471e-06	 MSE : 1.9306e-04	 REL : 7.2528e-01
Epoch 19, 75%	 Loss : 4.8576e-05	 RES : 2.0753e-06	 MSE : 2.4826e-04	 REL : 7.3346e-01
Training Epoch 19 :	 Loss : 4.8053e-05 	 RES : 2.0321e-06	 MSE : 2.3260e-04	 REL : 7.2821e-01
Validation Epoch 19 :	 Loss : 4.7672e-05	 RES : 1.8957e-06	 MSE : 2.2812e-04	 REL : 7.2025e-01
Training Epoch 19 finished,took current epoch 45.47s,cumulative time 904.11s
MODEL SAVED
Learning Rate : 0.01
Epoch 20, 25%	 Loss : 4.6810e-05	 RES : 1.8112e-06	 MSE : 2.1599e-04	 REL : 7.1882e-01
Epoch 20, 50%	 Loss : 4.3507e-05	 RES : 1.6426e-06	 MSE : 1.8515e-04	 REL : 7.1027e-01
Epoch 20, 75%	 Loss : 4.8376e-05	 RES : 1.9388e-06	 MSE : 2.4279e-04	 REL : 7.2534e-01
Training Epoch 20 :	 Loss : 4.8014e-05 	 RES : 2.0174e-06	 MSE : 2.3204e-04	 REL : 7.2734e-01
Validation Epoch 20 :	 Loss : 4.7860e-05	 RES : 2.0055e-06	 MSE : 2.3488e-04	 REL : 7.3081e-01
Training Epoch 20 finished,took current epoch 45.63s,cumulative time 949.68s
Learning Rate : 0.01
Epoch 21, 25%	 Loss : 4.6862e-05	 RES : 1.8208e-06	 MSE : 2.2253e-04	 REL : 7.2963e-01
Epoch 21, 50%	 Loss : 4.3525e-05	 RES : 1.6383e-06	 MSE : 1.8355e-04	 REL : 7.0719e-01
Epoch 21, 75%	 Loss : 4.8771e-05	 RES : 1.9354e-06	 MSE : 2.4273e-04	 REL : 7.2526e-01
Training Epoch 21 :	 Loss : 4.7997e-05 	 RES : 2.0254e-06	 MSE : 2.3213e-04	 REL : 7.2746e-01
Validation Epoch 21 :	 Loss : 4.7780e-05	 RES : 1.9610e-06	 MSE : 2.3279e-04	 REL : 7.2755e-01
Training Epoch 21 finished,took current epoch 44.95s,cumulative time 994.57s
Learning Rate : 0.01
Epoch 22, 25%	 Loss : 4.7106e-05	 RES : 1.9841e-06	 MSE : 2.1496e-04	 REL : 7.1710e-01
Epoch 22, 50%	 Loss : 4.3639e-05	 RES : 1.6469e-06	 MSE : 1.8333e-04	 REL : 7.0677e-01
Epoch 22, 75%	 Loss : 4.8331e-05	 RES : 1.9301e-06	 MSE : 2.4283e-04	 REL : 7.2540e-01
Training Epoch 22 :	 Loss : 4.7979e-05 	 RES : 2.0184e-06	 MSE : 2.3182e-04	 REL : 7.2703e-01
Validation Epoch 22 :	 Loss : 4.7765e-05	 RES : 1.9585e-06	 MSE : 2.3251e-04	 REL : 7.2711e-01
Training Epoch 22 finished,took current epoch 45.22s,cumulative time 1039.73s
Learning Rate : 0.01
Epoch 23, 25%	 Loss : 4.6587e-05	 RES : 1.7954e-06	 MSE : 2.1617e-04	 REL : 7.1912e-01
Epoch 23, 50%	 Loss : 4.3520e-05	 RES : 1.6800e-06	 MSE : 1.8335e-04	 REL : 7.0681e-01
Epoch 23, 75%	 Loss : 4.8353e-05	 RES : 1.9312e-06	 MSE : 2.4267e-04	 REL : 7.2517e-01
Training Epoch 23 :	 Loss : 4.7966e-05 	 RES : 2.0252e-06	 MSE : 2.3259e-04	 REL : 7.2810e-01
Validation Epoch 23 :	 Loss : 4.7690e-05	 RES : 1.9027e-06	 MSE : 2.2858e-04	 REL : 7.2095e-01
Training Epoch 23 finished,took current epoch 45.93s,cumulative time 1085.63s
Learning Rate : 0.01
Epoch 24, 25%	 Loss : 4.6681e-05	 RES : 1.8611e-06	 MSE : 2.1478e-04	 REL : 7.1679e-01
Epoch 24, 50%	 Loss : 4.3634e-05	 RES : 1.7108e-06	 MSE : 1.8359e-04	 REL : 7.0726e-01
Epoch 24, 75%	 Loss : 4.9034e-05	 RES : 2.1287e-06	 MSE : 2.5433e-04	 REL : 7.4238e-01
Training Epoch 24 :	 Loss : 4.7974e-05 	 RES : 2.0336e-06	 MSE : 2.3336e-04	 REL : 7.2939e-01
Validation Epoch 24 :	 Loss : 4.7585e-05	 RES : 1.8779e-06	 MSE : 2.2765e-04	 REL : 7.1950e-01
Training Epoch 24 finished,took current epoch 45.81s,cumulative time 1131.38s
MODEL SAVED
Learning Rate : 0.01
Epoch 25, 25%	 Loss : 4.6706e-05	 RES : 1.8410e-06	 MSE : 2.1485e-04	 REL : 7.1692e-01
Epoch 25, 50%	 Loss : 4.3795e-05	 RES : 1.7584e-06	 MSE : 1.8583e-04	 REL : 7.1156e-01
Epoch 25, 75%	 Loss : 4.8268e-05	 RES : 1.9241e-06	 MSE : 2.4305e-04	 REL : 7.2574e-01
Training Epoch 25 :	 Loss : 4.7923e-05 	 RES : 2.0217e-06	 MSE : 2.3293e-04	 REL : 7.2870e-01
Validation Epoch 25 :	 Loss : 4.7545e-05	 RES : 1.8672e-06	 MSE : 2.2742e-04	 REL : 7.1914e-01
Training Epoch 25 finished,took current epoch 45.29s,cumulative time 1176.63s
MODEL SAVED
Learning Rate : 0.01
Epoch 26, 25%	 Loss : 4.6577e-05	 RES : 1.8232e-06	 MSE : 2.1450e-04	 REL : 7.1634e-01
Epoch 26, 50%	 Loss : 4.3851e-05	 RES : 1.7598e-06	 MSE : 1.8870e-04	 REL : 7.1704e-01
Epoch 26, 75%	 Loss : 4.8271e-05	 RES : 1.9534e-06	 MSE : 2.4401e-04	 REL : 7.2717e-01
Training Epoch 26 :	 Loss : 4.7891e-05 	 RES : 2.0150e-06	 MSE : 2.3324e-04	 REL : 7.2920e-01
Validation Epoch 26 :	 Loss : 4.7569e-05	 RES : 1.8785e-06	 MSE : 2.2733e-04	 REL : 7.1902e-01
Training Epoch 26 finished,took current epoch 45.19s,cumulative time 1221.78s
Learning Rate : 0.01
Epoch 27, 25%	 Loss : 4.6552e-05	 RES : 1.8400e-06	 MSE : 2.1444e-04	 REL : 7.1623e-01
Epoch 27, 50%	 Loss : 4.3721e-05	 RES : 1.7405e-06	 MSE : 1.8765e-04	 REL : 7.1503e-01
Epoch 27, 75%	 Loss : 4.8276e-05	 RES : 1.9283e-06	 MSE : 2.4324e-04	 REL : 7.2602e-01
Training Epoch 27 :	 Loss : 4.7834e-05 	 RES : 2.0001e-06	 MSE : 2.3278e-04	 REL : 7.2847e-01
Validation Epoch 27 :	 Loss : 4.7483e-05	 RES : 1.8665e-06	 MSE : 2.2717e-04	 REL : 7.1878e-01
Training Epoch 27 finished,took current epoch 46.35s,cumulative time 1268.03s
MODEL SAVED
Learning Rate : 0.01
Epoch 28, 25%	 Loss : 4.6510e-05	 RES : 1.8120e-06	 MSE : 2.1448e-04	 REL : 7.1631e-01
Epoch 28, 50%	 Loss : 4.3798e-05	 RES : 1.7992e-06	 MSE : 1.8832e-04	 REL : 7.1631e-01
Epoch 28, 75%	 Loss : 4.8226e-05	 RES : 1.9151e-06	 MSE : 2.4241e-04	 REL : 7.2478e-01
Training Epoch 28 :	 Loss : 4.7803e-05 	 RES : 1.9956e-06	 MSE : 2.3232e-04	 REL : 7.2771e-01
Validation Epoch 28 :	 Loss : 4.7434e-05	 RES : 1.8623e-06	 MSE : 2.2690e-04	 REL : 7.1834e-01
Training Epoch 28 finished,took current epoch 45.37s,cumulative time 1313.35s
MODEL SAVED
Learning Rate : 0.01
Epoch 29, 25%	 Loss : 4.6627e-05	 RES : 1.7865e-06	 MSE : 2.1562e-04	 REL : 7.1820e-01
Epoch 29, 50%	 Loss : 4.3426e-05	 RES : 1.6303e-06	 MSE : 1.8306e-04	 REL : 7.0623e-01
Epoch 29, 75%	 Loss : 4.8174e-05	 RES : 1.9121e-06	 MSE : 2.4233e-04	 REL : 7.2466e-01
Training Epoch 29 :	 Loss : 4.7760e-05 	 RES : 1.9889e-06	 MSE : 2.3198e-04	 REL : 7.2714e-01
Validation Epoch 29 :	 Loss : 4.7413e-05	 RES : 1.8589e-06	 MSE : 2.2683e-04	 REL : 7.1824e-01
Training Epoch 29 finished,took current epoch 45.55s,cumulative time 1358.85s
MODEL SAVED
Learning Rate : 0.01
Epoch 30, 25%	 Loss : 4.6443e-05	 RES : 1.7653e-06	 MSE : 2.1687e-04	 REL : 7.2028e-01
Epoch 30, 50%	 Loss : 4.3529e-05	 RES : 1.6527e-06	 MSE : 1.8696e-04	 REL : 7.1372e-01
Epoch 30, 75%	 Loss : 4.8176e-05	 RES : 1.9270e-06	 MSE : 2.4267e-04	 REL : 7.2516e-01
Training Epoch 30 :	 Loss : 4.7736e-05 	 RES : 1.9821e-06	 MSE : 2.3179e-04	 REL : 7.2684e-01
Validation Epoch 30 :	 Loss : 4.7433e-05	 RES : 1.8576e-06	 MSE : 2.2754e-04	 REL : 7.1933e-01
Training Epoch 30 finished,took current epoch 46.06s,cumulative time 1404.85s
MODEL SAVED
Learning Rate : 0.01
Epoch 31, 25%	 Loss : 4.6387e-05	 RES : 1.7677e-06	 MSE : 2.1690e-04	 REL : 7.2033e-01
Epoch 31, 50%	 Loss : 4.3472e-05	 RES : 1.6852e-06	 MSE : 1.8732e-04	 REL : 7.1442e-01
Epoch 31, 75%	 Loss : 4.8196e-05	 RES : 1.9335e-06	 MSE : 2.4207e-04	 REL : 7.2427e-01
Training Epoch 31 :	 Loss : 4.7673e-05 	 RES : 1.9820e-06	 MSE : 2.3192e-04	 REL : 7.2709e-01
Validation Epoch 31 :	 Loss : 4.7427e-05	 RES : 1.8683e-06	 MSE : 2.2690e-04	 REL : 7.1833e-01
Training Epoch 31 finished,took current epoch 45.34s,cumulative time 1450.14s
Learning Rate : 0.01
Epoch 32, 25%	 Loss : 4.6331e-05	 RES : 1.7671e-06	 MSE : 2.1614e-04	 REL : 7.1907e-01
Epoch 32, 50%	 Loss : 4.3465e-05	 RES : 1.7054e-06	 MSE : 1.8571e-04	 REL : 7.1133e-01
Epoch 32, 75%	 Loss : 4.8080e-05	 RES : 1.9242e-06	 MSE : 2.4244e-04	 REL : 7.2483e-01
Training Epoch 32 :	 Loss : 4.7649e-05 	 RES : 1.9798e-06	 MSE : 2.3200e-04	 REL : 7.2722e-01
Validation Epoch 32 :	 Loss : 4.7531e-05	 RES : 1.9094e-06	 MSE : 2.2683e-04	 REL : 7.1822e-01
Training Epoch 32 finished,took current epoch 44.97s,cumulative time 1495.08s
Learning Rate : 0.01
Epoch 33, 25%	 Loss : 4.6453e-05	 RES : 1.7873e-06	 MSE : 2.1499e-04	 REL : 7.1715e-01
Epoch 33, 50%	 Loss : 4.3357e-05	 RES : 1.6415e-06	 MSE : 1.8310e-04	 REL : 7.0632e-01
Epoch 33, 75%	 Loss : 4.8315e-05	 RES : 1.9836e-06	 MSE : 2.4578e-04	 REL : 7.2979e-01
Training Epoch 33 :	 Loss : 4.7602e-05 	 RES : 1.9728e-06	 MSE : 2.3158e-04	 REL : 7.2652e-01
Validation Epoch 33 :	 Loss : 4.7322e-05	 RES : 1.8729e-06	 MSE : 2.2684e-04	 REL : 7.1825e-01
Training Epoch 33 finished,took current epoch 45.63s,cumulative time 1540.64s
Learning Rate : 0.01
Epoch 34, 25%	 Loss : 4.6403e-05	 RES : 1.7857e-06	 MSE : 2.2225e-04	 REL : 7.2916e-01
Epoch 34, 50%	 Loss : 4.3344e-05	 RES : 1.6609e-06	 MSE : 1.8333e-04	 REL : 7.0675e-01
Epoch 34, 75%	 Loss : 4.7903e-05	 RES : 1.9250e-06	 MSE : 2.4296e-04	 REL : 7.2560e-01
Training Epoch 34 :	 Loss : 4.7528e-05 	 RES : 1.9774e-06	 MSE : 2.3169e-04	 REL : 7.2668e-01
Validation Epoch 34 :	 Loss : 4.7142e-05	 RES : 1.8472e-06	 MSE : 2.2629e-04	 REL : 7.1737e-01
Training Epoch 34 finished,took current epoch 45.44s,cumulative time 1586.01s
MODEL SAVED
Learning Rate : 0.01
Epoch 35, 25%	 Loss : 4.6110e-05	 RES : 1.7585e-06	 MSE : 2.1395e-04	 REL : 7.1542e-01
Epoch 35, 50%	 Loss : 4.3085e-05	 RES : 1.6232e-06	 MSE : 1.8290e-04	 REL : 7.0594e-01
Epoch 35, 75%	 Loss : 4.8000e-05	 RES : 1.9589e-06	 MSE : 2.4184e-04	 REL : 7.2392e-01
Training Epoch 35 :	 Loss : 4.7422e-05 	 RES : 1.9623e-06	 MSE : 2.3180e-04	 REL : 7.2687e-01
Validation Epoch 35 :	 Loss : 4.7084e-05	 RES : 1.8483e-06	 MSE : 2.2703e-04	 REL : 7.1851e-01
Training Epoch 35 finished,took current epoch 45.91s,cumulative time 1631.88s
Learning Rate : 0.01
Epoch 36, 25%	 Loss : 4.6149e-05	 RES : 1.7687e-06	 MSE : 2.1334e-04	 REL : 7.1439e-01
Epoch 36, 50%	 Loss : 4.2998e-05	 RES : 1.6126e-06	 MSE : 1.8248e-04	 REL : 7.0512e-01
Epoch 36, 75%	 Loss : 4.7835e-05	 RES : 1.9303e-06	 MSE : 2.4461e-04	 REL : 7.2806e-01
Training Epoch 36 :	 Loss : 4.7359e-05 	 RES : 1.9530e-06	 MSE : 2.3072e-04	 REL : 7.2517e-01
